Sample_ID,Timestamp,Ground_Truth_Class,Predicted_Threat_Class,Confidence_Score (%),Physical_Actual_Signal (tcp.len),Digital_Twin_Forecast (tcp.len),Mean_Continuous_Residual,Operational_Filter_Decision,Filter_Reason,Primary_SHAP_Risk_Driver,Operational_Outcome,Industrial_Protection_Benefit
1,2026-08-23 11:41:57,SQL_injection,SQL_injection,99.41,0.0,0.0,0.0,PASS,High-fidelity alert: Confidence (99.4%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
2,2026-08-23 11:41:57,Vulnerability_scanner,Vulnerability_scanner,98.47,0.0,0.0,0.0,PASS,High-fidelity alert: Confidence (98.5%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
3,2026-08-23 11:41:58,DDoS_UDP,DDoS_UDP,99.95,0.0,0.0,83919.0,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
4,2026-08-23 11:41:58,DDoS_UDP,DDoS_UDP,99.95,0.0,0.0,0.0,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
5,2026-08-23 11:41:59,DDoS_UDP,DDoS_UDP,99.94,0.0,0.0,27511.1111,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
6,2026-08-23 11:41:59,Password,Password,99.76,0.0,0.0,5461.795,PASS,High-fidelity alert: Confidence (99.8%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
7,2026-08-23 11:42:00,Ransomware,Ransomware,99.87,464.0,0.0,61791.9172,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
8,2026-08-23 11:42:00,Normal,Normal,99.94,0.0,0.0,6321511.1912,NORMAL,Traffic classified as normal baseline behavior,tcp.dstport,HEALTHY BASELINE (Normal Operation Preserved),Normal Dynamics Maintained
9,2026-08-23 11:42:01,Uploading,Uploading,99.48,0.0,0.0,5037.1292,PASS,High-fidelity alert: Confidence (99.5%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
10,2026-08-23 11:42:01,DDoS_ICMP,DDoS_ICMP,99.95,0.0,0.0,95639.8476,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['icmp.checksum'] match known domain mechanics.,icmp.checksum,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
11,2026-08-23 11:42:02,Password,DDoS_HTTP,67.75,0.0,0.0,3989.5084,PASS,High-fidelity alert: Confidence (67.7%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
12,2026-08-23 11:42:02,XSS,XSS,98.19,0.0,0.0,4018.5829,PASS,High-fidelity alert: Confidence (98.2%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
13,2026-08-23 11:42:03,Normal,Normal,99.96,1440.0,3.84,3047597.4916,NORMAL,Traffic classified as normal baseline behavior,tcp.dstport,HEALTHY BASELINE (Normal Operation Preserved),Normal Dynamics Maintained
14,2026-08-23 11:42:03,Vulnerability_scanner,Vulnerability_scanner,99.97,426.0,3.25,3559.6475,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
15,2026-08-23 11:42:04,Backdoor,Backdoor,99.96,392.0,0.53,259589.3286,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
16,2026-08-23 11:42:04,Uploading,XSS,50.12,0.0,0.0,3324.8761,SUPPRESS,Alert suppressed: Low model confidence (50.1% < 65.0%).,http.content_length,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
17,2026-08-23 11:42:05,XSS,XSS,99.77,0.0,0.0,2222.3169,PASS,High-fidelity alert: Confidence (99.8%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
18,2026-08-23 11:42:05,MITM,MITM,30.6,0.0,0.0,2220.7547,SUPPRESS,Alert suppressed: Low model confidence (30.6% < 65.0%).,arp.opcode,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
19,2026-08-23 11:42:06,DDoS_UDP,DDoS_UDP,99.97,0.0,0.0,80326.1093,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
20,2026-08-23 11:42:06,Backdoor,Backdoor,99.95,400.0,0.0,192584.2282,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
21,2026-08-23 11:42:07,SQL_injection,SQL_injection,99.8,0.0,0.0,12545387.9362,PASS,High-fidelity alert: Confidence (99.8%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
22,2026-08-23 11:42:07,SQL_injection,SQL_injection,64.37,0.0,0.0,3178.6908,SUPPRESS,Alert suppressed: Low model confidence (64.4% < 65.0%).,http.content_length,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
23,2026-08-23 11:42:08,SQL_injection,SQL_injection,99.2,477.0,0.0,602.8868,PASS,High-fidelity alert: Confidence (99.2%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
24,2026-08-23 11:42:08,Uploading,Uploading,95.99,107.0,0.0,47710.3073,PASS,High-fidelity alert: Confidence (96.0%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
25,2026-08-23 11:42:09,XSS,XSS,96.46,0.0,0.0,1278.4025,PASS,High-fidelity alert: Confidence (96.5%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
