Attack Class,Raw Class Name,Category,Support,RF-Raw F1,XGB-Raw F1,RF-Twin-v2 F1,XGB-Twin-v2 F1,RF F1 Delta,XGB F1 Delta,Low Support Flag,Outcome
Port_Scanning,Port_Scanning,Volumetric / Network Flood,893,0.9511,0.9511,0.9475,0.9518,-0.0036,0.0007,No,Statistical Parity
DDoS_TCP,DDoS_TCP,Volumetric / Network Flood,909,1.0,1.0,1.0,1.0,0.0,0.0,No,Exact Parity
DDoS_UDP,DDoS_UDP,Volumetric / Network Flood,1286,1.0,1.0,1.0,1.0,0.0,0.0,No,Exact Parity
DDoS_ICMP,DDoS_ICMP,Volumetric / Network Flood,1250,0.9996,0.9996,0.9992,0.9996,-0.0004,0.0,No,Statistical Parity
Normal,Normal,Normal Baseline,2156,0.9979,0.9979,0.9972,0.9977,-0.0007,-0.0002,No,Statistical Parity
Backdoor,Backdoor,Application & Payload-Centric,904,0.9837,0.9848,0.977,0.9832,-0.0067,-0.0017,No,Statistical Parity
XSS,XSS,Application & Payload-Centric,892,0.9058,0.9084,0.8976,0.9067,-0.0082,-0.0017,No,Statistical Parity
Uploading,Uploading,Application & Payload-Centric,911,0.9167,0.9221,0.9086,0.9201,-0.0081,-0.002,No,Statistical Parity
SQL_injection,SQL_injection,Application & Payload-Centric,915,0.8873,0.8963,0.8707,0.893,-0.0166,-0.0033,No,Statistical Parity
Password,Password,Application & Payload-Centric,886,0.8915,0.899,0.8615,0.8956,-0.03,-0.0034,No,Statistical Parity
Vulnerability_scanner,Vulnerability_scanner,Application & Payload-Centric,894,0.9773,0.9759,0.9742,0.972,-0.003,-0.0039,No,Statistical Parity
DDoS_HTTP,DDoS_HTTP,Volumetric / Network Flood,937,0.8472,0.8571,0.8261,0.8522,-0.0211,-0.005,No,Statistical Parity
Fingerprinting *,Fingerprinting,Stealth Behavioral / Recon,89,0.8889,0.8889,0.8696,0.875,-0.0193,-0.0139,Yes (n < 200),Raw Baseline Preferred
Ransomware,Ransomware,Application & Payload-Centric,969,0.9379,0.9385,0.9224,0.9197,-0.0155,-0.0188,No,Raw Baseline Preferred
MITM *,MITM,Stealth Behavioral / Recon,108,0.5806,0.5806,0.562,0.5208,-0.0186,-0.0599,Yes (n < 200),Raw Baseline Preferred
