Attack Class,Raw Class Name,Category,Support,RF-Raw F1,XGB-Raw F1,RF-Twin-v2 F1,XGB-Twin-v2 F1,RF F1 Delta,XGB F1 Delta,Low Support Flag,Outcome
XSS,XSS,Application & Payload-Centric,892,0.9058,0.9084,0.8942,0.9094,-0.0116,0.001,No,Statistical Parity
Uploading,Uploading,Application & Payload-Centric,911,0.9167,0.9221,0.911,0.9224,-0.0057,0.0003,No,Statistical Parity
DDoS_ICMP,DDoS_ICMP,Volumetric / Network Flood,1250,0.9996,0.9996,0.9996,0.9996,0.0,0.0,No,Exact Parity
DDoS_TCP,DDoS_TCP,Volumetric / Network Flood,909,1.0,1.0,1.0,1.0,0.0,0.0,No,Exact Parity
DDoS_UDP,DDoS_UDP,Volumetric / Network Flood,1286,1.0,1.0,1.0,1.0,0.0,0.0,No,Exact Parity
Normal,Normal,Normal Baseline,2156,0.9979,0.9979,0.9974,0.9977,-0.0005,-0.0002,No,Statistical Parity
Backdoor,Backdoor,Application & Payload-Centric,904,0.9837,0.9848,0.977,0.9843,-0.0067,-0.0006,No,Statistical Parity
Port_Scanning,Port_Scanning,Volumetric / Network Flood,893,0.9511,0.9511,0.9481,0.9501,-0.0031,-0.0011,No,Statistical Parity
SQL_injection,SQL_injection,Application & Payload-Centric,915,0.8873,0.8963,0.8745,0.894,-0.0128,-0.0023,No,Statistical Parity
Vulnerability_scanner,Vulnerability_scanner,Application & Payload-Centric,894,0.9773,0.9759,0.9742,0.972,-0.003,-0.0039,No,Statistical Parity
Password,Password,Application & Payload-Centric,886,0.8915,0.899,0.8679,0.8947,-0.0236,-0.0043,No,Statistical Parity
DDoS_HTTP,DDoS_HTTP,Volumetric / Network Flood,937,0.8472,0.8571,0.8306,0.8525,-0.0165,-0.0047,No,Statistical Parity
Fingerprinting *,Fingerprinting,Stealth Behavioral / Recon,89,0.8889,0.8889,0.882,0.882,-0.0069,-0.0069,Yes (n < 200),Statistical Parity
Ransomware,Ransomware,Application & Payload-Centric,969,0.9379,0.9385,0.9224,0.9202,-0.0155,-0.0183,No,Raw Baseline Preferred
MITM *,MITM,Stealth Behavioral / Recon,108,0.5806,0.5806,0.56,0.5299,-0.0206,-0.0508,Yes (n < 200),Raw Baseline Preferred
